fundingTime,fundingRate,symbol
2020-01-01 00:00:00+00:00,0.0003697306541381261,ETHUSDT
2020-01-01 08:00:00+00:00,-0.0011741260282408144,ETHUSDT
2020-01-01 16:00:00+00:00,-0.0004640632461357948,ETHUSDT
2020-01-02 00:00:00+00:00,0.0006023584135347805,ETHUSDT
2020-01-02 08:00:00+00:00,0.00013467841684935636,ETHUSDT
2020-01-02 16:00:00+00:00,0.0009342052423677806,ETHUSDT
2020-01-03 00:00:00+00:00,-0.001092581250281233,ETHUSDT
2020-01-03 08:00:00+00:00,-0.00039224283072498343,ETHUSDT
2020-01-03 16:00:00+00:00,0.0006035703073375573,ETHUSDT
2020-01-04 00:00:00+00:00,-0.00016033514731782412,ETHUSDT
2020-01-04 08:00:00+00:00,-2.3431347244970272e-05,ETHUSDT
2020-01-04 16:00:00+00:00,-0.0003055082245681959,ETHUSDT
2020-01-05 00:00:00+00:00,0.0006091602210887023,ETHUSDT
2020-01-05 08:00:00+00:00,0.0002145929412527879,ETHUSDT
2020-01-05 16:00:00+00:00,-0.00023231641261624438,ETHUSDT
2020-01-06 00:00:00+00:00,9.793170779927467e-05,ETHUSDT
2020-01-06 08:00:00+00:00,-0.0009230456146262426,ETHUSDT
2020-01-06 16:00:00+00:00,0.0004418309600490542,ETHUSDT
2020-01-07 00:00:00+00:00,-0.0005040898673456906,ETHUSDT
2020-01-07 08:00:00+00:00,-0.0005625006351768408,ETHUSDT
2020-01-07 16:00:00+00:00,-2.2502625207135645e-05,ETHUSDT
2020-01-08 00:00:00+00:00,0.00040343565048736065,ETHUSDT
2020-01-08 08:00:00+00:00,0.0001010617957973855,ETHUSDT
2020-01-08 16:00:00+00:00,-6.974119185721063e-05,ETHUSDT
2020-01-09 00:00:00+00:00,0.00018289984154395416,ETHUSDT
2020-01-09 08:00:00+00:00,-0.00022374469624138137,ETHUSDT
2020-01-09 16:00:00+00:00,-0.0006442502495708077,ETHUSDT
2020-01-10 00:00:00+00:00,0.00033868452045306564,ETHUSDT
2020-01-10 08:00:00+00:00,9.26960347152072e-05,ETHUSDT
2020-01-10 16:00:00+00:00,0.0005496167029569482,ETHUSDT
2020-01-11 00:00:00+00:00,0.0002478502193228478,ETHUSDT
2020-01-11 08:00:00+00:00,0.000608056749706713,ETHUSDT
2020-01-11 16:00:00+00:00,0.0004924827898858164,ETHUSDT
2020-01-12 00:00:00+00:00,-0.0010714625229245854,ETHUSDT
2020-01-12 08:00:00+00:00,0.0003352503536403285,ETHUSDT
2020-01-12 16:00:00+00:00,0.0005270919073272017,ETHUSDT
2020-01-13 00:00:00+00:00,7.37095173939741e-05,ETHUSDT
2020-01-13 08:00:00+00:00,7.626498174821288e-05,ETHUSDT
2020-01-13 16:00:00+00:00,0.0001853752608699851,ETHUSDT
2020-01-14 00:00:00+00:00,0.0005665414561055353,ETHUSDT
2020-01-14 08:00:00+00:00,4.010405609554346e-05,ETHUSDT
2020-01-14 16:00:00+00:00,0.0002773289645523788,ETHUSDT
